glyph_name,ps_name,sort_final,USV
.notdef,.notdef,0,
.null,.null,1,
nonmarkingreturn,nonmarkingreturn,2,
space-mm,uni0020,3,0020
exclam-mm,uni0021,4,0021
quotedbl-mm,uni0022,5,0022
numbersign-mm,uni0023,6,0023
dollar-mm,uni0024,7,0024
percent-mm,uni0025,8,0025
ampersand-mm,uni0026,9,0026
quotesingle-mm,uni0027,10,0027
parenleft-mm,uni0028,11,0028
parenright-mm,uni0029,12,0029
asterisk-mm,uni002A,13,002A
plus-mm,uni002B,14,002B
hyphen-mm,uni002D,15,002D
slash-mm,uni002F,16,002F
colon-mm,uni003A,17,003A
semicolon-mm,uni003B,18,003B
less-mm,uni003C,19,003C
equal-mm,uni003D,20,003D
greater-mm,uni003E,21,003E
at-mm,uni0040,22,0040
bracketleft-mm,uni005B,23,005B
backslash-mm,uni005C,24,005C
bracketright-mm,uni005D,25,005D
asciicircum-mm,uni005E,26,005E
grave-mm,uni0060,27,0060
braceleft-mm,uni007B,28,007B
braceright-mm,uni007D,29,007D
asciitilde-mm,uni007E,30,007E
danda,uni0964,31,0964
ahangkhudam-mm,uniAAF1,32,AAF1
kok-mm,uniABC0,33,ABC0
sam-mm,uniABC1,34,ABC1
lai-mm,uniABC2,35,ABC2
mit-mm,uniABC3,36,ABC3
pa-mm,uniABC4,37,ABC4
na-mm,uniABC5,38,ABC5
chil-mm,uniABC6,39,ABC6
til-mm,uniABC7,40,ABC7
khou-mm,uniABC8,41,ABC8
ngou-mm,uniABC9,42,ABC9
thou-mm,uniABCA,43,ABCA
wai-mm,uniABCB,44,ABCB
yang-mm,uniABCC,45,ABCC
huk-mm,uniABCD,46,ABCD
un-mm,uniABCE,47,ABCE
i-mm,uniABCF,48,ABCF
pham-mm,uniABD0,49,ABD0
atiya-mm,uniABD1,50,ABD1
gok-mm,uniABD2,51,ABD2
jham-mm,uniABD3,52,ABD3
rai-mm,uniABD4,53,ABD4
ba-mm,uniABD5,54,ABD5
jil-mm,uniABD6,55,ABD6
dil-mm,uniABD7,56,ABD7
ghou-mm,uniABD8,57,ABD8
dhou-mm,uniABD9,58,ABD9
bham-mm,uniABDA,59,ABDA
koklonsum-mm,uniABDB,60,ABDB
lailonsum-mm,uniABDC,61,ABDC
mitlonsum-mm,uniABDD,62,ABDD
palonsum-mm,uniABDE,63,ABDE
nalonsum-mm,uniABDF,64,ABDF
tillonsum-mm,uniABE0,65,ABE0
ngoulonsum-mm,uniABE1,66,ABE1
ilonsum-mm,uniABE2,67,ABE2
onap-mm,uniABE3,68,ABE3
inap-mm,uniABE4,69,ABE4
anap-mm,uniABE5,70,ABE5
yenap-mm,uniABE6,71,ABE6
sounap-mm,uniABE7,72,ABE7
unap-mm,uniABE8,73,ABE8
cheinap-mm,uniABE9,74,ABE9
nung-mm,uniABEA,75,ABEA
cheikhei-mm,uniABEB,76,ABEB
lumiyek-mm,uniABEC,77,ABEC
apuniyek-mm,uniABED,78,ABED
zero-mm,uniABF0,79,ABF0
one-mm,uniABF1,80,ABF1
two-mm,uniABF2,81,ABF2
three-mm,uniABF3,82,ABF3
four-mm,uniABF4,83,ABF4
five-mm,uniABF5,84,ABF5
six-mm,uniABF6,85,ABF6
seven-mm,uniABF7,86,ABF7
eight-mm,uniABF8,87,ABF8
nine-mm,uniABF9,88,ABF9
